Rank,Team,Seed,Conference,Calculated_Score,AdjEM,AdjO,AdjD,Barthag,Record,eFG%,Opp_eFG%,3P%,2P%,TO%,Opp_TO%,AST_TO,OR%,DR%,FTR,Opp_FTR,Tempo,SOS,FT%,Quad1_Wins,Last_10_Games_Metric,Star_Player_Index,Bench_Minutes_Pct,KenPom_Rank,Torvik_Rank,Massey_Rank,NET_Rank,2P_%_D,3P_%_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,3P_Rate,3P_Rate_D,Exp,Elite_SOS,PPP_Off,PPP_Def,Strengths
1,Missouri,6,SEC,63.1,15.2,127,100.8,0.934,22-11,56.2,50.7,37,51.1,15.2,20,1.27,33.7,53.2,46.8,35.3,72,36.4,72.5,3,0.75,7,33,16,16,32,46,51.1,33.4,7.5,10.5,49.5,48.3,41.5,38.2,2.197,36.393,1.203,1.052,excellent 3-point shooting; efficient shooting; strong power rating; plays at a fast pace; significant height advantage
2,Kansas,6,Big 12,60.7,31.4,116.1,84.7,0.927,21-12,53.1,46.2,35.2,46.1,16.7,15.6,1.51,31.8,64.2,24.3,28,69,41.7,71.1,5,0.9,10,30,20,20,20,5,46.1,30.9,13.1,9,60.9,52.8,34.3,40.7,2.526,41.748,1.09,0.991,excellent ball movement; excellent recent form; star player who can take over games; strong power rating; elite shot blocking; proven against top competition; significant height advantage; veteran team with experience
3,Clemson,6,ACC,60.5,23.5,118.3,94.8,0.927,27-6,53.6,48.9,37.6,49.3,15.7,20.1,1.38,33.7,76.6,32.2,27.6,67,26.4,76.6,5,0.81,8,28,21,21,21,19,49.3,32.2,10.4,8.1,52.3,43.7,38.4,38.3,2.503,26.367,1.148,0.988,excellent 3-point shooting; creates lots of turnovers; strong free throw shooting; excellent recent form; star player who can take over games; elite defensive rebounding; strong power rating; excellent win percentage; proven against top competition; significant height advantage; veteran team with experience
4,UCLA,7,Big Ten,59.7,22.6,117.9,95.3,0.92,22-10,53,50.5,35.2,53.7,15.9,22.8,1.54,32.8,70.3,35.9,34.6,67,34.6,70.3,4,0.8,8,28,25,27,26,27,51.2,33.2,10.5,7,60.5,57.8,36,44.8,1.849,34.636,1.123,0.987,creates lots of turnovers; excellent ball movement; star player who can take over games; significant height advantage
5,Connecticut,8,Big East,59,19.6,121.6,102,0.883,23-10,55.5,48.3,35.4,46,17.1,15.5,1.57,35.6,68.1,35.6,40,68,30.1,79.1,2,0.82,8,32,34,35,29,33,46,35.1,17.9,8.9,64,44.2,42.6,34.2,1.638,30.085,1.182,1.039,efficient shooting; excellent ball movement; strong free throw shooting; excellent recent form; star player who can take over games; dominant offensive rebounding; elite shot blocking
6,Oregon,6,Big Ten,58.7,17.8,115.1,97.3,0.874,24-9,52.2,49.1,34,50,16.2,17.6,1.29,29.6,73.4,33.4,27.7,68,36,76.3,5,0.78,8,32,38,25,24,26,50,31.7,10.1,8.8,54.4,50.3,38.6,37.4,2.452,35.999,1.099,1.023,strong free throw shooting; star player who can take over games; proven against top competition; significant height advantage; veteran team with experience
7,Oklahoma,9,SEC,58,16.8,117.7,100.9,0.855,20-13,54.9,51.1,37,51.1,17.3,18.1,1.43,31.8,68.3,39.6,35.8,66,39.4,79.4,2,0.75,6,32,43,42,47,41,54.9,30.5,6.8,10.4,52,47.3,41.9,41.9,2.256,39.435,1.126,1.069,excellent 3-point shooting; strong free throw shooting
8,Texas,11,SEC,58,16.5,116.7,100.2,0.852,19-15,52.5,48.4,36,48.2,14.3,16.6,1.3,29.8,69.5,29.8,39.3,68,37.2,74.9,1,0.76,9,30,45,48,50,44,47.5,33.3,11.7,8.2,47.5,48.3,35.4,36.2,2.185,37.234,1.13,1.04,takes care of the ball; star player who can take over games
9,Gonzaga,7,WCC,57.9,26.9,123.3,96.4,0.944,25-8,55.7,47.5,37.7,57.8,13.2,18.2,2.09,32.7,73.6,32.7,28.6,73,26.1,80.1,4,0.88,8,25,11,8,4,8,49.1,30.2,8.3,8.1,61.9,48.5,33.5,40.6,2.522,26.112,1.215,0.977,excellent 3-point shooting; efficient shooting; takes care of the ball; excellent ball movement; strong free throw shooting; excellent recent form; star player who can take over games; strong power rating; plays at a fast pace; excellent win percentage; veteran team with experience
10,VCU,10,Atlantic 10,57.9,20.2,116.2,96,0.9,27-6,52.4,44.4,33.5,54.2,16.8,20.6,1.33,36.7,70,30,36.1,68,16.4,74.5,2,0.8,6,34,29,31,94,95,43.6,30.6,15.6,7.7,56.5,46.1,47.4,35.3,2.233,16.375,1.146,0.938,strong defensive field goal percentage; creates lots of turnovers; dominant offensive rebounding; elite shot blocking; excellent win percentage; significant height advantage
