Team,Conference,Record,Wins,Games,Seed,AdjO,AdjD,AdjEM,Barthag,Adj_T,eFG%,Opp_eFG%,TO%,Opp_TO%,OR%,DR%,Opp_OR%,FTR,Opp_FTR,FT%,2P%,2P_%_D,3P%,3P_%_D,3P_Rate,3P_Rate_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,SOS,Elite_SOS,WAB,Torvik_Rank,NET_Rank,Massey_Rank,CompRank,TRank_Early,RankTrajectory,AP_Poll_Rank,Luck,Coach_Tourney_Experience,Program_Prestige,Quad1_Wins,Last_10_Games_Metric,Conf_Tourney_Champion,Won_Play_In,Star_Player_Index,Exp,Bench_Minutes_Pct
Duke,ACC,32-2,32,34,1.0,128.14904357444615,90.82469357684226,37.32434999760389,0.981275529393138,65.80289902502722,56.8,46.2,15.7,18.1,38.1,75.2,24.8,37.8,23.7,67.1,60.1,46.6,35.1,30.4,44.4,45.7,10.4,9.3,59.2,51.4,12,0.6242298644113906,13.66685494408448,1,1.0,2,1.0,6,5,1,-0.0401,5.5,10.0,17.0,1.0,1.0,0,10.0,0.856,15.9
Michigan,B10,31-3,31,34,1.0,127.63450072351318,91.04688631318432,36.58761441032887,0.9798590808886916,71.21588775355953,58.1,44.7,16.7,15.5,35.4,72.3,27.7,37.7,26.3,71.3,61.0,44.3,36.0,30.2,41.8,41.8,15.9,9.4,60.7,46.7,1,0.581440054194272,13.990672950982004,2,2.0,3,2.0,1,-1,3,-0.0681,4.5,2.0,16.0,0.9,0.0,0,8.0,1.947,17.6
Arizona,B12,32-2,32,34,1.0,126.9328463200414,91.39879171276158,35.53405460727983,0.9776187905660676,70.0265807984333,55.1,45.0,15.1,16.7,38.1,73.1,26.9,42.9,27.7,71.4,55.4,43.8,36.0,31.4,26.8,37.2,10.8,8.3,55.4,48.9,14,0.6220128153719021,13.661141906628146,3,3.0,1,3.0,3,0,2,-0.0364,5.5,8.0,16.0,1.0,1.0,0,8.0,1.406,10.0
Florida,SEC,26-7,26,33,1.0,126.11025282932148,92.27159037013304,33.83866245918844,0.9732168213458992,70.39846831640578,53.5,46.3,16.5,15.4,43.2,75.2,24.8,39.1,34.0,72.5,57.9,45.2,30.8,32.4,37.1,33.7,12.4,7.2,54.0,44.5,7,0.607451094298917,8.526908357231688,4,4.0,6,4.0,4,0,4,-0.1853,7,7.0,12.0,0.9,0.0,0,7.0,1.928,10.2
Houston,B12,28-6,28,34,2.0,125.3761008011556,92.39818113160156,32.97791966955404,0.970968805707221,63.32516871557185,52.1,46.6,13.0,21.0,35.9,69.1,30.9,26.9,39.0,64.9,51.9,45.5,34.9,32.1,40.8,40.9,12.5,6.4,52.9,53.5,21,0.6385883811259491,8.990295159145363,5,5.0,4,5.0,2,-3,5,-0.1474,8,7.0,10.0,0.8,0.0,0,8.0,1.553,16.9
Illinois,B10,24-8,24,32,3.0,131.94853676044386,98.20662203294115,33.7419147275027,0.9675915468033512,65.71825606645093,55.1,47.6,13.2,11.6,38.7,73.0,27.0,32.9,20.6,66.2,58.2,48.0,34.7,31.4,50.7,42.2,12.6,8.5,51.2,51.4,15,0.625412726486913,6.558013162201696,6,8.0,13,6.0,5,-1,9,-0.2176,5,2.0,7.0,0.7,0.0,0,8.0,1.548,13.1
Iowa St.,B12,27-7,27,34,2.0,123.77693011635378,92.63870403444515,31.138226081908627,0.9655237713281531,66.96165457910595,56.5,49.5,15.1,22.4,35.3,71.9,28.1,34.0,27.9,68.2,55.5,50.5,38.7,32.1,38.8,42.8,8.6,9.6,58.4,54.5,50,0.6545066499274036,7.3866316433959325,7,7.0,8,7.0,8,1,26,-0.1714,5,2.0,8.0,0.7,0.0,0,7.0,1.944,10.5
Purdue,B10,27-8,27,35,2.0,133.28802249492458,100.25111499176668,33.03690750315789,0.9635819526479076,64.43644110017448,57.6,52.3,13.5,15.6,36.3,73.6,26.4,28.6,26.0,65.3,58.1,53.1,37.9,34.2,40.9,45.0,8.9,6.6,66.8,57.5,4,0.596202028089706,9.187059022712358,8,9.0,7,8.0,7,-1,18,-0.1922,5,2.0,10.0,0.7,1.0,0,8.0,2.015,16.0
Connecticut,BE,29-5,29,34,2.0,123.09077692053246,94.96630924453147,28.12446767600099,0.9518047318017968,64.58279664461328,55.3,45.7,16.8,18.0,35.7,71.3,28.7,30.0,40.2,66.0,57.1,45.8,35.2,30.3,40.3,36.2,15.2,9.7,65.0,48.5,32,0.6742452255930754,8.836474101615588,9,10.0,9,9.0,9,0,6,-0.0989,9,9.0,7.0,0.7,0.0,0,7.0,1.997,17.6
Vanderbilt,SEC,26-8,26,34,5.0,127.44611401573864,99.3325518475338,28.11356216820485,0.9461415847068948,68.98180715559334,55.3,48.8,13.3,17.9,31.2,68.4,31.6,38.2,41.0,70.8,56.8,49.1,35.5,32.2,43.6,37.9,12.6,7.1,56.2,46.6,16,0.631837311445132,7.294689015202003,10,14.0,15,10.0,10,0,22,-0.1814,3,2.0,10.0,0.6,0.0,0,7.0,2.308,14.4
Gonzaga,WCC,30-3,30,33,3.0,120.28150450114714,94.01797680255537,26.263527698591773,0.9444338732568964,68.93236315364123,56.3,46.2,13.7,20.5,34.8,74.1,25.9,31.1,31.0,70.4,58.7,46.2,34.0,30.8,31.0,43.7,11.4,6.0,56.7,52.9,82,0.7541650477498699,7.359443192945847,11,6.0,5,11.0,15,4,12,-0.0353,8,8.0,7.0,0.9,1.0,0,7.0,2.11,24.1
