Rank,Team,Seed,Conference,Calculated_Score,AdjEM,AdjO,AdjD,Barthag,Record,eFG%,Opp_eFG%,3P%,2P%,TO%,Opp_TO%,AST_TO,OR%,DR%,FTR,Opp_FTR,Tempo,SOS,FT%,Quad1_Wins,Last_10_Games_Metric,Star_Player_Index,Bench_Minutes_Pct,KenPom_Rank,Torvik_Rank,Massey_Rank,NET_Rank,2P_%_D,3P_%_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,3P_Rate,3P_Rate_D,Exp,Elite_SOS,PPP_Off,PPP_Def,Strengths
1,Tennessee,2,SEC,64.2,28.2,119.3,91.1,0.957,27-7,52.8,44.4,34,48.8,16,17.8,1.48,35.3,83.4,16,32,66,41.3,74.3,9,0.9,5,32,6,6,6,7,46.7,27.8,16.1,9.1,60.2,46.5,43,45.1,2.65,41.282,1.142,0.963,strong defensive field goal percentage; excellent recent form; elite defensive rebounding; dominant offensive rebounding; strong power rating; elite shot blocking; excellent win percentage; proven against top competition; significant height advantage; veteran team with experience
2,Houston,1,Big 12,60.4,36.8,124.8,87.9,0.982,30-4,52.7,44.9,39.8,49,14.6,21.7,1.28,36.1,70.7,28.2,34.1,65,38.6,74.1,11,0.94,8,28,1,3,1,1,43.9,30.9,15.8,6.6,44.4,55,34.5,43.1,2.278,38.577,1.167,0.92,excellent 3-point shooting; strong defensive field goal percentage; takes care of the ball; creates lots of turnovers; excellent recent form; star player who can take over games; dominant offensive rebounding; strong power rating; elite shot blocking; excellent win percentage; proven against top competition
3,Auburn,1,SEC,59.2,35.3,129,93.7,0.976,28-5,55.7,46,36.8,56.1,13.4,17.4,1.78,34.3,69.7,33.5,39.2,70,45.6,74,9,0.93,8,35,3,2,4,4,47.2,29.2,16.5,7.5,55.5,40.2,40.6,34.8,2.573,45.564,1.213,1.007,excellent 3-point shooting; efficient shooting; takes care of the ball; excellent ball movement; excellent recent form; star player who can take over games; strong power rating; elite shot blocking; excellent win percentage; proven against top competition; significant height advantage; veteran team with experience
4,Duke,1,ACC,58.9,37.2,128.5,91.3,0.981,31-3,57.4,44.5,37.7,58,14.4,17.7,1.75,35.2,74.8,32.1,25.4,70,30.6,78.4,10,0.95,9,30,2,1,2,2,43.4,30.9,10.6,9.7,58.1,51.4,45.4,37.9,0.968,30.63,1.242,0.93,excellent 3-point shooting; efficient shooting; strong defensive field goal percentage; takes care of the ball; excellent ball movement; strong free throw shooting; excellent recent form; star player who can take over games; dominant offensive rebounding; strong power rating; excellent win percentage; proven against top competition; significant height advantage
5,Florida,1,SEC,58.8,35,127.7,94,0.971,30-4,55,45.3,35.5,53.5,15,17,1.49,38.1,73.2,32.6,33,72,37.8,71.8,8,0.92,7,32,4,4,3,3,45.9,29.6,12.3,8.6,52.4,46.4,43.6,37.3,1.887,37.75,1.206,0.977,strong defensive field goal percentage; excellent recent form; dominant offensive rebounding; strong power rating; plays at a fast pace; excellent win percentage; proven against top competition; significant height advantage
6,Michigan St.,2,Big Ten,57.9,27.5,116.8,89.3,0.941,27-6,53.8,46.3,37.2,47.5,14.3,14.5,1.46,32.2,75.8,30.7,32.2,68,34.7,78.1,8,0.89,7,30,13,11,11,11,49.1,27.9,13.3,7.8,61.6,53.4,32.7,41.4,1.752,34.707,1.125,0.968,excellent 3-point shooting; takes care of the ball; strong free throw shooting; excellent recent form; elite defensive rebounding; strong power rating; elite shot blocking; excellent win percentage; proven against top competition; significant height advantage
7,Maryland,4,Big Ten,57.1,23.1,117.8,94.7,0.945,25-8,53.8,47,37.2,47.6,14.5,20.2,1.42,33.7,74.1,32.9,25.9,66,31.3,75.5,6,0.84,6,30,10,12,13,20,47.6,30.7,12,6.4,50.4,49.4,35.5,35.8,1.64,31.337,1.151,0.944,excellent 3-point shooting; takes care of the ball; creates lots of turnovers; strong free throw shooting; excellent recent form; strong power rating; excellent win percentage; proven against top competition
8,Iowa St.,3,Big 12,55.5,26.6,118.9,92.3,0.948,24-9,54.6,48.4,35.8,47.5,16,21.8,1.59,32.2,71.1,38.5,28.9,68,36.7,75.7,7,0.87,7,68,8,9,9,10,47.5,33.2,10.2,9.3,53.9,55.3,36.9,40.7,2.401,36.738,1.14,0.965,creates lots of turnovers; excellent ball movement; strong free throw shooting; excellent recent form; strong power rating; proven against top competition; significant height advantage; veteran team with experience
9,Kansas,6,Big 12,54.9,31.4,116.1,84.7,0.927,21-12,53.1,46.2,35.2,46.1,16.7,15.6,1.51,31.8,64.2,24.3,28,69,41.7,71.1,5,0.9,10,30,20,20,20,5,46.1,30.9,13.1,9,60.9,52.8,34.3,40.7,2.526,41.748,1.09,0.991,excellent ball movement; excellent recent form; star player who can take over games; strong power rating; elite shot blocking; proven against top competition; significant height advantage; veteran team with experience
10,Arizona,3,Big 12,54.5,27.4,123.9,96.5,0.947,22-12,52.9,47.2,32.4,45.8,16.2,18.2,1.42,35.9,74.7,33.6,32.4,72,44.3,78.4,6,0.88,8,30,9,9,12,12,47.2,33.6,12,6.7,56.7,53.2,34.6,41.9,1.92,44.259,1.156,1.025,strong free throw shooting; excellent recent form; star player who can take over games; dominant offensive rebounding; strong power rating; plays at a fast pace; proven against top competition
11,Michigan,5,Big Ten,54.5,20.7,115.1,94.4,0.907,25-9,54.5,46.3,33.4,45.9,19.8,16,1.14,33.2,73.7,34.8,28.5,67,37.3,72.8,5,0.8,8,34,26,26,16,18,45.9,31.3,9.3,7.5,58.5,44.9,42.5,38.9,2.239,37.294,1.101,1.002,star player who can take over games; proven against top competition; significant height advantage
