Team,Seed,Conference,Conf_Strength_Weight,AdjEM,AdjO,AdjD,Barthag,Record,Wins,Games,eFG%,Opp_eFG%,3P%,2P%,TO%,Opp_TO%,AST_TO,OR%,DR%,FTR,Opp_FTR,Tempo,Raw_T,SOS,FT%,Opp_FT%,Quad1_Wins,Last_10_Games_Metric,Star_Player_Index,Bench_Minutes_Pct,PAKE,PASE,Talent,KenPom_Rank,Torvik_Rank,Massey_Rank,NET_Rank,2P_%_D,3P_%_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,3P_Rate,3P_Rate_D,Adj_T,Avg_Hgt,Eff_Hgt,Exp,PPP_Off,PPP_Def,Elite_SOS
Houston,1,Big 12,0.96,36.8,124.8,87.9,0.982,30-4,30,34,52.7,44.9,39.8,49.0,14.6,21.7,1.28,36.1,70.7,28.2,34.1,65.0,62.4,38.6,74.1,70.9,11,0.94,8,28,0,0,75.695,1,3,1,1,43.9,30.9,15.8,6.6,44.4,55.0,34.5,43.1,61.425,76.82,79.578,2.278,1.167,0.92,38.577
Duke,1,ACC,0.92,37.2,128.5,91.3,0.981,31-3,31,34,57.4,44.5,37.7,58.0,14.4,17.7,1.75,35.2,74.8,32.1,25.4,70.0,66.6,30.6,78.4,71.5,10,0.95,9,30,0,0,80.734,2,1,2,2,43.4,30.9,10.6,9.7,58.1,51.4,45.4,37.9,65.706,79.763,82.221,0.968,1.242,0.93,30.63
Auburn,1,SEC,1.00,35.3,129.0,93.7,0.976,28-5,28,33,55.7,46.0,36.8,56.1,13.4,17.4,1.78,34.3,69.7,33.5,39.2,70.0,68.9,45.6,74.0,73.5,9,0.93,8,35,0,0,34.433,3,2,4,4,47.2,29.2,16.5,7.5,55.5,40.2,40.6,34.8,67.776,78.431,81.057,2.573,1.213,1.007,45.564
Florida,1,SEC,1.00,35.0,127.7,94.0,0.971,30-4,30,34,55.0,45.3,35.5,53.5,15.0,17.0,1.49,38.1,73.2,32.6,33.0,72.0,70.8,37.8,71.8,70.7,8,0.92,7,32,0,0,28.619,4,4,3,3,45.9,29.6,12.3,8.6,52.4,46.4,43.6,37.3,69.516,78.018,82.097,1.887,1.206,0.977,37.75
Alabama,2,SEC,1.00,31.2,127.6,96.4,0.962,25-8,25,33,56.3,47.9,35.0,59.7,16.7,13.5,1.31,34.7,72.5,29.2,33.9,74.0,76.3,46.5,71.6,70.4,10,0.91,10,30,0,0,58.572,5,5,5,6,48.8,30.8,10.1,12.2,54.1,43.8,46.2,35.1,74.645,78.074,82.581,1.819,1.187,1.06,46.471
Tennessee,2,SEC,1.00,28.2,119.3,91.1,0.957,27-7,27,34,52.8,44.4,34.0,48.8,16.0,17.8,1.48,35.3,83.4,16.0,32.0,66.0,65.5,41.3,74.3,74.0,9,0.90,5,32,0,0,51.743,6,6,6,7,46.7,27.8,16.1,9.1,60.2,46.5,43.0,45.1,63.823,77.149,81.352,2.65,1.142,0.963,41.282
Texas Tech,3,Big 12,0.96,29.3,126.0,96.7,0.955,25-8,25,33,55.5,48.0,37.9,54.3,14.8,17.4,1.63,34.3,71.5,28.5,33.5,66.0,66.4,35.2,76.4,69.5,6,0.92,7,34,0,0,36.947,7,7,6,9,48.2,31.7,8.1,8.0,58.5,45.0,44.6,34.1,65.554,76.407,79.854,1.972,1.2,1.002,35.224
Iowa St.,3,Big 12,0.96,26.6,118.9,92.3,0.948,24-9,24,33,54.6,48.4,35.8,47.5,16.0,21.8,1.59,32.2,71.1,38.5,28.9,68.0,69.5,36.7,75.7,75.0,7,0.87,7,68,0,0,35.926,8,9,9,10,47.5,33.2,10.2,9.3,53.9,55.3,36.9,40.7,68.54,77.854,81.053,2.401,1.14,0.965,36.738
Arizona,3,Big 12,0.96,27.4,123.9,96.5,0.947,22-12,22,34,52.9,47.2,32.4,45.8,16.2,18.2,1.42,35.9,74.7,33.6,32.4,72.0,70.2,44.3,78.4,71.4,6,0.88,8,30,0,0,66.268,9,9,12,12,47.2,33.6,12.0,6.7,56.7,53.2,34.6,41.9,69.862,77.892,80.498,1.92,1.156,1.025,44.259
Maryland,4,Big Ten,0.98,23.1,117.8,94.7,0.945,25-8,25,33,53.8,47.0,37.2,47.6,14.5,20.2,1.42,33.7,74.1,32.9,25.9,66.0,70.7,31.3,75.5,73.9,6,0.84,6,30,0,0,66.049,10,12,13,20,47.6,30.7,12.0,6.4,50.4,49.4,35.5,35.8,69.841,77.5,80.919,1.64,1.151,0.944,31.337
